context_id,title,text,word_count,char_count
5321-4533-9657,Phê duyệt giá KCB bệnh viện mắt TW,"Phụ lục I GIÁ DỊCH VỤ KHÁM BỆNH, HỘI CHĂN (Ban hành kèm theo Quyết định số /QĐ-BYT ngày / 12 /2024 của BỘ Y tế) Đơn vị tinh: ĐỒng VN STT Danh mục dịch vụ I Danh mục dịch vụ khám bệnh, chữa bệnh do Quỹ BHYT thanh toán 1 Giá Khám bệnh 50.600 Hội chẩn để xác định ca bệnh khó (chuyên gia/ca; Chỉ áp dụng 2 lđối với trường hợp mời chuyên gia đơn vị khác đến hội chẩn 200.000 tại cơ sở khám, chữa bệnh). IDanh mục dịch vụ KBCB không thuộc danh mục do quỹ bảo hiểm y tế 11 thanh toán mà không phải là dịch vụ KBCB theo yêu cầu 1K hám cấp giấy chúng thương, giám định y khoa (không kể xét 3 160.000 In ghiệm, X-quang) 1„ ẮC Y Bệnh viện Mắt Trung ương 2 BÔ Y TE.",147,654
8011-9458-9021,Xử phạt vi phạm hành chính trong lĩnh vực y tế Công ty TNHH Johnson &amp; Johnson (Việt Nam),"3. Quy định tại: điểm a khoản 1 Điều 31 và điểm c khoản 2 Điều 31 của Nghị định số 119/2017/NĐ-CP ngày 01/11/2017 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực tiêu chuẩn, đo lường và chất lượng sản phẩm, hàng hóa; được sửa đổi bởi điểm a khoản 48 Điều 2 và điểm c khoản 49 Điều 2 Nghị định số 126/2021/NĐ-CP ngày 30/12/2021 của Chính phủ sửa đổi, bổ sung một số điều của các nghị định quy định xử phạt vi phạm hành chính trong lĩnh vực sở hữu công nghiệp; tiêu chuẩn, đo lường và chất lượng sản phẩm, hàng hóa; hoạt động khoa học và công nghệ, chuyển giao công nghệ; năng lượng nguyên tử.",128,611
6383-8328-3755,"trả lời kiến nghị của cử tri tỉnh Gia Lai sau Kỳ họp thứ 9, Quốc hội khóa XV","BỘ Y TẾ CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM _______ Độc lập - Tự do - Hạnh phúc _______________________________________________ Số: /BYT-VPB Hà Nội, ngày tháng năm 2025 V/v trả lời kiến nghị của cử tri tỉnh Gia Lai sau Kỳ họp thứ 9, Quốc hội khóa XV Kính gửi: Đoàn Đại biểu Quốc hội tỉnh Gia Lai Bộ Y tế nhận được Công văn số 1099/UBDNGS15 ngày 29/7/2025 của Ủy ban Dân nguyện và Giám sát về việc đề nghị trả lời kiến nghị của cử tri gửi tới sau kỳ họp thứ 9, Quốc hội khóa XV, trong đó cử tri tỉnh Gia Lai có kiến nghị: Bộ Y tế xin trả lời đối với kiến nghị liên quan đến lĩnh vực quản lý của ngành Y tế, cụ thể như sau: 1. Đoàn ĐBQH tỉnh Bình Định (cũ) đã kiến nghị Bộ Y tế xem xét cho phép bác sĩ (có chứng chỉ hành nghề chuyên môn khoa hệ nội, nội - nhi đang công tác tại các trạm y tế xã, phường, thị trấn) được khám và kê đơn thuốc điều trị ngoại trú cho bệnh nhân tâm thần kinh theo chỉ định tại hồ sơ bệnh án ngoại trú của Bệnh viện Tâm thần với số lượng thuốc sử dụng tối đa 30 ngày và được Quỹ bảo hiểm y tế thanh toán. Trong trường hợp nếu có chỉ định thuốc điều trị đặc hiệu phát sinh thì Trạm y tế sẽ chuyển bệnh nhân trở lại Bệnh viện Tâm thần để tái khám và chỉ định thuốc theo quy định. Vấn đề này Bộ Y tế trả lời (Văn bản số 289/BYT-VPB1 ngày 18/01/2024 của Bộ Y tế về việc trả lời kiến nghị của cử tri trước Kỳ họp thứ 6, Quốc hội khóa XV) sẽ tiếp tục nghiên cứu để có những hướng dẫn liên quan đến việc quản lý điều trị ngoại trú cho bệnh nhân tâm thần cũng như các đối tượng người bệnh mãn tính khác khi đã được chỉ định, điều trị ổn định ở bệnh viện tuyến trên thì sẽ tiếp tục được theo dõi điều trị tại tuyến cơ sở nhằm tạo điều kiện thuận lợi cho người bệnh. Tuy nhiên, đến nay Bộ Y tế vẫn chưa có hướng dẫn cụ thể đối với vấn đề này. Cử tri tiếp tục đề nghị Bộ Y tế sớm có hướng dẫn liên quan để tạo điều kiện thuận lợi cho người bệnh trong việc điều trị.",421,1878
6250-2250-7577,V/v chuẩn bị hồ sơ đề xuất cập nhật Danh mục thuốc BHYT,"2. Thuốc đã có trong danh mục thuốc hiện hành được xem xét tăng tỷ lệ hoặc giảm điều kiện thanh toán khi đáp ứng đủ các tiêu chí sau đây: a) Là thuốc lựa chọn đầu tay hoặc có hiệu quả điều trị vượt trội hoặc có trong hướng dẫn chẩn đoán và điều trị của WHO hoặc Bộ Y tế Việt Nam hoặc cơ quan có thẩm quyền của các nước hoặc các hội y khoa, dược khoa, hội bệnh học có uy tín do Bộ Y tế công bố, phù hợp với nhu cầu điều trị và khả năng đáp ứng chuyên môn của cơ sở khám bệnh, chữa bệnh; b) Có báo cáo đánh giá tác động ngân sách tại Việt Nam.",126,541
7021-5730-8538,đảm bảo cung ứng các thuốcthiết yếu cho điều trị,"BỘ Y TẾ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM CỤC QUẢN LÝ DƯỢC Độc lập – Tự do – Hạnh phúc Số: /QLD-KD Hà Nội, ngày tháng năm 2022 V/v đảm bảo cung ứng các thuốc thiết yếu cho điều trị Kính gửi: - Các cơ sở nhập khẩu thuốc; - Bệnh viện Bạch Mai. Cục Quản lý Dược nhận được Công văn số 2390/BVBM-DUOC đề ngày 19/08/2022 của Bệnh viện Bạch Mai vể việc đề nghị nhập khẩu các thuốc thiết yếu cho điều trị. Theo thông tin từ Bệnh viện Bạch Mai, hiện nay một số loại thuốc chuyên khoa dùng cho một số bệnh đặc biệt như: suy tuyến thượng thận, ngộ độc kim loại nặng, ... không có sẵn, dẫn đến tình trạng thiếu thuốc và khó khăn trong công tác cấp cứu, điều trị của bệnh viện (Danh mục các thuốc đề nghị nhập khẩu của Bệnh viện Bạch Mai xem chi tiết tại phụ lục đính kèm Công văn này). Trong danh mục có: - Một số thuốc hiếm, rất ít nguồn cung ứng và nhu cầu sử dụng ít về số lượng; - Một số thuốc hiện chưa có Giấy Đăng ký lưu hành (ĐKLH) tại Việt Nam; - 04 thuốc có Giấy đăng ký lưu hành tại Việt Nam còn hiệu lực: + Valgesic 10 (Hydrocortison 10mg), viên nén, giấy ĐKLH số VD-34893-20, cơ sở sản xuất: Công ty cổ phần dược phẩm Medisun; + Azenmarol 4 (Acenocoumarol 4 mg), viên nén, giấy ĐKLH số VD-28826-18, cơ sở sản xuất: Chi nhánh công ty cổ phần dược phẩm Agimexpharm- Nhà máy sản xuất dược phẩm Agimexpharm; + Azenmarol 1 (Acenocoumarol 1 mg), viên nén, giấy ĐKLH số VD-28825-18, cơ sở sản xuất: Chi nhánh công ty cổ phần dược phẩm Agimexpharm- Nhà máy sản xuất dược phẩm Agimexpharm; + Bfs-Depara (Mỗi lọ 10 ml chứa: Acetylcystein 2000 mg), dung dịch đậm đặc để pha tiêm truyền, giấy ĐKLH số VD-32805-19, cơ sở sản xuất: Công ty cổ phần Dược phẩm CPC1 Hà Nội.",343,1658
3306-5997-7238,"V/v tiếp thu, giải trình ý kiến Thành viên Chính phủ về Dự án Luật sửa đổi, bổ sung một số điều của Luật Bảo hiểm y tế","II. MỤC TIÊU, QUAN ĐIỂM XÂY DỰNG VĂN BẢN 1. Mục tiêu 1.1. Mục tiêu tổng quát: Sửa đổi, bổ sung một số điều của Luật Bảo hiểm y tế để giải quyết các vướng mắc, bất cập phát sinh có tính cấp bách, có đầy đủ thông tin, dữ liệu, đạt sự đồng thuận cao nhằm thực hiện tốt chính sách, pháp luật bảo hiểm y tế, tăng cường quản lý, sử dụng hiệu quả quỹ bảo hiểm y tế; bảo đảm thống nhất với Luật khám bệnh, chữa bệnh số 15/2023/QH15 và các luật, các quy định có liên quan để kịp thời có hiệu lực từ ngày 01 tháng 01 năm 2025.",115,516
3929-5203-9648,Văn bản hợp nhất Thông tư số 01/2015/TT-BYT,"Điều 8. Quy trình tư vấn phòng, chống HIV/AIDS 1. Trường hợp đối tượng chủ động đề xuất: a) Được tư vấn về dự phòng trong phòng, chống HIV/AIDS: nhân viên y tế thực hiện tư vấn cho người bệnh theo quy định tại Điều 4 Thông tư này; b) Được xét nghiệm HIV: nhân viên y tế thực hiện tư vấn cho người bệnh theo quy định tại Điều 5 Thông tư này nếu nhân viên đó đáp ứng đủ điều kiện theo quy định tại Khoản 3 Điều 2 Thông tư này. Trường hợp nhân viên y tế thực hiện tư vấn chưa đáp ứng đủ điều kiện theo quy định tại Khoản 3 Điều 2 Thông tư này thì phải giới thiệu đến nhân viên tư vấn. 2. Trong quá trình khám bệnh, chữa bệnh, nhân viên y tế có trách nhiệm tư vấn hoặc giới thiệu đến nhân viên tư vấn để tư vấn thực hiện xét nghiệm HIV khi gặp các đối tượng sau: a) Người có hành vi nguy cơ cao; b) Người mắc bệnh lao; c) Người mắc các nhiễm trùng lây truyền qua đường tình dục; d) Người nhiễm vi rút viêm gan C; đ) Phụ nữ mang thai; e) Con của người nhiễm HIV; g) Người phơi nhiễm với HIV; h) Người bệnh đã được khám lâm sàng và xét nghiệm cận lâm sàng nhưng không phát hiện được nguyên nhân gây bệnh hoặc có các triệu chứng lâm sàng nghi ngờ nhiễm HIV theo các quy định tại Quyết định số 3003/QĐ-BYT ngày 19 tháng 8 năm 2009 của Bộ trưởng Bộ Y tế về việc ban hành Hướng dẫn chẩn đoán và điều trị HIV/AIDS. 3. Sau khi tư vấn trước xét nghiệm HIV, nếu người được tư vấn đồng ý thực hiện xét nghiệm HIV thì hướng dẫn người được tư vấn: a) Ký đồng ý làm xét nghiệm HIV vào bệnh án nếu người được tư vấn là người bệnh đang được điều trị nội trú; b) Điền và ký phiếu xác nhận đồng ý xét nghiệm HIV theo mẫu quy định tại Phụ lục ban hành kèm theo Thông tư này đối nếu người được tư vấn không thuộc đối tượng quy định tại Điểm a Khoản này. 4. Đối với người dưới 16 tuổi hoặc mất năng lực hành vi dân sự thì phải tư vấn cho cha, mẹ hoặc người giám hộ hợp pháp của người đó (sau đây gọi là người đại diện hợp pháp), trường hợp người đại diện hợp pháp đồng ý làm xét nghiệm HIV thì hướng dẫn người đó ký giấy tờ theo quy định tại Khoản 3 Điều này.",451,2034
3522-9774-7873,V/v Ban hành Kế hoạch Cải cách hành chính năm 2025 của Bộ Y tế,"5.3. Vụ Pháp chế: - Đầu mối triển khai thực hiện nhiệm vụ thuộc lĩnh vực cải cách thể chế; - Hướng dẫn, kiểm tra việc thực hiện quy trình xây dựng văn bản QPPL, kiểm tra, rà soát, hệ thống hóa văn bản QPPL nhằm nâng cao chất lưạig công tác xây dựng pháp luật y tế đảm bảo tính hợp hiến, hợp pháp, hợp lý, đồng bộ, thống nhất và khả thi của hệ thông văn bản QPPL trong lĩnh vực y tổ.",85,382
1131-4161-1688,Giấy XNQC: CÔNG TY CỔ PHẦN SAO THÁI DƯƠNG: TPBVSK Dạ Dày Sao Thái Dương và Dạ Dày Tá Tràng Sao Thái Dương mã hs 250305-0047,"BỘ Y TẾ CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM CỤC AN TOÀN THỰC PHẨM Độc lập - Tự do - Hạnh phúc Số: /2025/XNQC-ATTP Hà Nội, ngày tháng năm 2025 GIẤY XÁC NHẬN NỘI DUNG QUẢNG CÁO Tên tổ chức, cá nhân: CÔNG TY CỔ PHẦN SAO THÁI DƯƠNG Địa chỉ: Lô CC1-III.13.4 thuộc dự án khu đô thị mới Pháp Vân - Tứ Hiệp, phường Hoàng Liệt, quận Hoàng Mai, thành phố Hà Nội Điện thoại: 0243.6444.219 Fax: Số, ký hiệu của Giấy tiếp nhận STT Tên sản phẩm đăng ký bản công bố 1 Thực phẩm bảo vệ sức khỏe Dạ dày Sao 4057/2023/ĐKSP Thái Dương Thực phẩm bảo vệ sức khỏe Dạ dày Tá 1183/2022/ĐKSP tràng Sao Thái Dương Phương tiện quảng cáo: Truyền hình Có nội dung quảng cáo (đính kèm) đã được duyệt phù hợp với quy định hiện hành. Yêu cầu tổ chức, cá nhân có trách nhiệm quảng cáo đúng nội dung đã được xác nhận.",165,782
4610-8115-3000,"trả lời kiến nghị của cử tri tỉnh An Giang trước Kỳ họp thứ 9, Quốc hội khóa XV","2. Cử tri tiếp tục đề nghị xem xét, điều chỉnh quy định để đối tượng là học sinh, sinh viên được mua bảo hiểm y tế theo nguyện vọng cá nhân để có thể tham gia theo hộ gia đình thay cho việc mua bảo hiểm y tế tại trường học nhằm giảm bớt áp lực kinh tế cho phụ huynh và các em học sinh, nhất là đối với các hộ gia đình có đông con đang trong độ tuổi đi học. Đồng thời, việc thay đổi diện tham gia bảo hiểm y tế theo hướng linh hoạt cho học sinh cũng sẽ phù hợp với chủ trương miễn học phí sắp triển khai và trong tương lai là có thể xem xét miễn viện phí toàn dân theo gợi mở của Tổng Bí thư Tô Lâm. Để khuyến khích và hỗ trợ người dân tham gia bảo hiểm y tế, Quốc hội, Chính phủ đã ban hành các chính sách cụ thể: Nghị định số 146/2018/NĐ-CP ngày 17/10/2018 của Chính phủ quy định chi tiết và hướng dẫn biện pháp thi hành một số điều của Luật Bảo hiểm y tế, được sửa đổi, bổ sung bởi Nghị định số 75/2023/NĐ-CP ngày 19/10/2023 của Chính phủ và Luật số 51/2024/QH15 của Quốc hội sửa đổi, bổ sung một số điều của Luật Bảo hiểm y tế, Nghị định số 188/2025/NĐ-CP ngày 01/7/2025 của Chính phủ quy định chi tiết và hướng dẫn thi hành một số điều của Luật Bảo hiểm y tế. Theo đó, các mức đóng và hỗ trợ đóng bảo hiểm y tế đã được quy định cho các nhóm đối tượng như người có công, người nghèo, người cận nghèo, người dân tộc thiểu số, người sinh sống tại các vùng có điều kiện kinh tế đặc biệt khó khăn, hộ nông nghiệp, lâm nghiệp, ngư nghiệp và diêm nghiệp có mức sống trung bình. Đối với kiến nghị của cử tri, để bảo đảm quản lý theo từng nhóm đối tượng và duy trì nguồn thu ổn định cho Quỹ Bảo hiểm y tế, nhóm học sinh, sinh viên vẫn tiếp tục đóng bảo hiểm y tế theo nhóm 4. Tuy nhiên, theo quy định tại Nghị định số 188/2025/NĐ-CP ngày 01/7/2025 của Chính phủ quy định chi tiết và hướng dẫn thi hành một số điều của Luật Bảo hiểm y tế, nhóm đối tượng học sinh, sinh viên được hỗ trợ tối thiểu 50% mức đóng bảo hiểm y tế, cao hơn mức hỗ trợ tối thiểu 30% cho hộ gia đình và tương đương mức hỗ trợ cho thành viên thứ tư trong hộ gia đình (50%).",448,2039
